year,round,circuit_name,circuit_country,driver_id,lap_number,lap_time_ms,estimated_horsepower,car_weight,track_temperature,driving_aggression,tire_compound,fuel_load_percent
2010,1,Bahrain International Circuit,Bahrain,rosberg,2,123507.0,942,701,24,0.9848947383752893,hard,95.94278269902333
2010,1,Bahrain International Circuit,Bahrain,hamilton,2,123578.0,794,796,29,0.9805053302548867,soft,31.380432157685473
2010,1,Bahrain International Circuit,Bahrain,michael_schumacher,2,124376.0,942,731,44,0.5918703427715526,hard,54.025000180775635
2010,1,Bahrain International Circuit,Bahrain,webber,2,124661.0,892,730,43,0.553482755269501,medium,17.38155142279635
2010,1,Bahrain International Circuit,Bahrain,button,2,124853.0,873,735,31,0.7741035732082329,hard,60.311278223722745
2010,1,Bahrain International Circuit,Bahrain,liuzzi,2,125534.0,878,757,41,0.6408546098761407,hard,95.89698675747844
2010,1,Bahrain International Circuit,Bahrain,barrichello,2,125349.0,814,757,42,0.5906642225751043,medium,16.176646006958798
2010,1,Bahrain International Circuit,Bahrain,petrov,2,125871.0,919,704,44,0.8335537973705127,medium,40.788693032929224
2010,1,Bahrain International Circuit,Bahrain,kobayashi,2,125788.0,880,718,26,0.7445942487554957,soft,11.491393291083575
2010,1,Bahrain International Circuit,Bahrain,hulkenberg,2,126082.0,953,763,44,0.6800296243860964,hard,90.30963619983896
2010,1,Bahrain International Circuit,Bahrain,rosa,2,125474.0,927,753,34,0.7384963578136974,hard,17.757135173966308
2010,1,Bahrain International Circuit,Bahrain,alguersuari,2,125417.0,961,768,26,0.586341636909343,hard,27.712455820432705
2010,1,Bahrain International Circuit,Bahrain,buemi,2,125728.0,949,757,26,0.8033560717835819,soft,19.460983651461298
2010,1,Bahrain International Circuit,Bahrain,kovalainen,2,128155.0,800,786,31,0.7949448896149762,hard,39.34770266646323
2010,1,Bahrain International Circuit,Bahrain,kubica,2,126279.0,818,732,23,0.8071338431671954,soft,22.587189493490605
2010,1,Bahrain International Circuit,Bahrain,glock,2,128234.0,904,729,39,0.7477242143269646,hard,31.965851967991217
2010,1,Bahrain International Circuit,Bahrain,grassi,2,129361.0,812,784,30,0.7959012325175681,soft,34.8277039370106
2010,1,Bahrain International Circuit,Bahrain,sutil,2,125478.0,911,721,28,0.5598537946359933,medium,13.35933029701691
2010,1,Bahrain International Circuit,Bahrain,trulli,2,130511.0,759,774,22,0.6859289944827638,medium,92.80088404334649
2010,1,Bahrain International Circuit,Bahrain,bruno_senna,2,131104.0,777,780,22,0.7620043789823475,hard,58.133375925705415
2010,1,Bahrain International Circuit,Bahrain,vettel,3,122969.0,894,706,36,0.8461848646160626,soft,71.9630116250762
2010,1,Bahrain International Circuit,Bahrain,alonso,3,123046.0,964,739,22,0.6123433457128438,soft,33.760587923604994
2010,1,Bahrain International Circuit,Bahrain,massa,3,122825.0,758,714,43,0.7508663357163683,hard,19.376613694683236
2010,1,Bahrain International Circuit,Bahrain,rosberg,3,123519.0,845,767,31,0.8776083612335712,medium,46.440942660052954
2010,1,Bahrain International Circuit,Bahrain,hamilton,3,123722.0,994,727,38,0.5782475348229039,hard,73.98046203629636
2010,1,Bahrain International Circuit,Bahrain,michael_schumacher,3,123818.0,819,780,25,0.7432715043477576,medium,25.923839917754314
2010,1,Bahrain International Circuit,Bahrain,webber,3,123692.0,850,728,21,0.8463302768272818,hard,72.0071060920797
2010,1,Bahrain International Circuit,Bahrain,button,3,124279.0,954,779,27,0.7412078508805913,soft,59.881241835578955
2010,1,Bahrain International Circuit,Bahrain,liuzzi,3,124589.0,951,741,40,0.686420165875182,soft,54.440888390145
2010,1,Bahrain International Circuit,Bahrain,barrichello,3,124856.0,961,713,33,0.9415296750593224,hard,11.873040951361762
2010,1,Bahrain International Circuit,Bahrain,petrov,3,125040.0,938,761,23,0.5376507182981707,soft,43.759903394590445
2010,1,Bahrain International Circuit,Bahrain,kobayashi,3,126058.0,888,749,34,0.8877261423817224,hard,10.176760170518227
2010,1,Bahrain International Circuit,Bahrain,rosa,3,125862.0,902,740,32,0.9831690513042626,soft,77.90809291719401
2010,1,Bahrain International Circuit,Bahrain,alguersuari,3,126366.0,971,753,42,0.997486039747662,soft,75.004347426631
2010,1,Bahrain International Circuit,Bahrain,buemi,3,124707.0,806,716,41,0.6092831322444452,hard,10.27995334250489
2010,1,Bahrain International Circuit,Bahrain,kubica,3,124239.0,840,720,24,0.6320366426118988,medium,39.96649349852793
2010,1,Bahrain International Circuit,Bahrain,kovalainen,3,128329.0,925,759,44,0.529944961200657,soft,43.19767874407964
2010,1,Bahrain International Circuit,Bahrain,glock,3,128050.0,814,715,23,0.6339562575031382,hard,42.19656876390269
2010,1,Bahrain International Circuit,Bahrain,sutil,3,125255.0,844,783,34,0.545539055738001,medium,94.03206524110747
2010,1,Bahrain International Circuit,Bahrain,trulli,3,130784.0,814,775,29,0.6695137835567868,hard,41.443353569418
2010,1,Bahrain International Circuit,Bahrain,hulkenberg,3,146097.0,876,765,38,0.8305972470642959,medium,27.513022688484103
2010,1,Bahrain International Circuit,Bahrain,bruno_senna,3,131175.0,761,774,29,0.547760575242264,medium,33.734354454973655
2010,1,Bahrain International Circuit,Bahrain,vettel,4,122723.0,944,792,35,0.5930413223758212,soft,70.902038968757
2010,1,Bahrain International Circuit,Bahrain,alonso,4,122781.0,890,769,39,0.7022110917580837,soft,78.39619024422421
2010,1,Bahrain International Circuit,Bahrain,massa,4,123146.0,841,731,41,0.9656989167184691,hard,67.02978549237336
2010,1,Bahrain International Circuit,Bahrain,rosberg,4,123682.0,813,789,42,0.5739446032726079,soft,42.45427021559767
2010,1,Bahrain International Circuit,Bahrain,hamilton,4,123558.0,766,761,38,0.6391482556446731,hard,62.88551950308422
2010,1,Bahrain International Circuit,Bahrain,michael_schumacher,4,123893.0,868,791,26,0.6142022691391976,medium,29.373175987135223
2010,1,Bahrain International Circuit,Bahrain,webber,4,124504.0,755,700,20,0.5743035029760304,medium,34.76831090306848
2010,1,Bahrain International Circuit,Bahrain,button,4,124154.0,990,797,20,0.6124441029945282,soft,92.9573212362651
2010,1,Bahrain International Circuit,Bahrain,liuzzi,4,124351.0,750,700,33,0.5319881992952489,hard,57.94638098417451
2010,1,Bahrain International Circuit,Bahrain,barrichello,4,124713.0,819,709,44,0.8737310934826805,soft,55.825699399172564
2010,1,Bahrain International Circuit,Bahrain,petrov,4,124862.0,778,704,42,0.7030819895485894,hard,87.8599198854091
2010,1,Bahrain International Circuit,Bahrain,kobayashi,4,125044.0,989,752,43,0.5476329531414306,medium,99.62926712020317
2010,1,Bahrain International Circuit,Bahrain,rosa,4,125293.0,957,733,42,0.8899348493094026,hard,74.32230293943874
2010,1,Bahrain International Circuit,Bahrain,alguersuari,4,125144.0,822,749,40,0.5559325165323701,medium,98.94495037154743
2010,1,Bahrain International Circuit,Bahrain,buemi,4,124893.0,938,733,43,0.9063822310633005,soft,11.687561481596717
2010,1,Bahrain International Circuit,Bahrain,kubica,4,124810.0,943,788,23,0.5251148734998334,soft,92.55595738098
2010,1,Bahrain International Circuit,Bahrain,kovalainen,4,127987.0,752,756,33,0.9960345550586133,soft,19.716416911877033
2010,1,Bahrain International Circuit,Bahrain,sutil,4,126930.0,807,754,42,0.7214149389919431,medium,52.65577157369819
2010,1,Bahrain International Circuit,Bahrain,glock,4,128328.0,957,720,41,0.6135975583213895,hard,34.15217541908625
2010,1,Bahrain International Circuit,Bahrain,trulli,4,127475.0,829,723,42,0.892325248546705,soft,40.25894433005347
2010,1,Bahrain International Circuit,Bahrain,bruno_senna,4,130637.0,832,714,26,0.7242442116960077,hard,67.5348623290931
2010,1,Bahrain International Circuit,Bahrain,hulkenberg,4,145516.0,802,789,23,0.8609184698725909,soft,58.89718648669256
2010,1,Bahrain International Circuit,Bahrain,vettel,5,122858.0,977,702,38,0.9103610686189095,medium,26.145926863101003
2010,1,Bahrain International Circuit,Bahrain,alonso,5,122640.0,782,713,36,0.9629890996414329,medium,25.640880803243704
2010,1,Bahrain International Circuit,Bahrain,massa,5,122675.0,755,770,41,0.8842154970328396,medium,35.60508719516535
2010,1,Bahrain International Circuit,Bahrain,rosberg,5,123384.0,997,757,26,0.5412900751216427,soft,84.49294297916148
2010,1,Bahrain International Circuit,Bahrain,hamilton,5,123283.0,858,713,31,0.8712035510255642,hard,80.02250950934784
2010,1,Bahrain International Circuit,Bahrain,michael_schumacher,5,123706.0,800,729,26,0.5830580691111457,hard,30.243359570049748
2010,1,Bahrain International Circuit,Bahrain,webber,5,123336.0,814,767,40,0.764213568527407,medium,66.35114277745902
2010,1,Bahrain International Circuit,Bahrain,button,5,123955.0,977,790,32,0.5782079626401356,hard,65.76961395430475
2010,1,Bahrain International Circuit,Bahrain,liuzzi,5,124788.0,777,744,40,0.5036932982502363,soft,10.046866512403751
2010,2,Albert Park Grand Prix Circuit,Australia,vettel,1,126947.0,759,732,43,0.958831056625274,soft,97.39567367080261
2010,2,Albert Park Grand Prix Circuit,Australia,massa,1,128151.0,895,740,21,0.9189584465259051,hard,80.67676531432208
2010,2,Albert Park Grand Prix Circuit,Australia,webber,1,129765.0,931,747,25,0.5090059108169627,medium,83.2736851083202
2010,2,Albert Park Grand Prix Circuit,Australia,kubica,1,131051.0,751,728,34,0.8861670290932364,soft,26.046124236484435
2010,2,Albert Park Grand Prix Circuit,Australia,rosberg,1,132133.0,915,762,28,0.7213199590532021,medium,26.509171049197505
2010,2,Albert Park Grand Prix Circuit,Australia,button,1,133121.0,884,720,21,0.7104295232018549,hard,98.9742229204333
2010,2,Albert Park Grand Prix Circuit,Australia,hamilton,1,134026.0,898,778,25,0.9398681275426828,soft,71.14005417776492
2010,2,Albert Park Grand Prix Circuit,Australia,sutil,1,134951.0,795,791,38,0.6467538727340769,soft,59.941597708156166
2010,2,Albert Park Grand Prix Circuit,Australia,barrichello,1,135678.0,907,778,39,0.8872804311019025,medium,88.33354135594449
2010,2,Albert Park Grand Prix Circuit,Australia,petrov,1,137505.0,858,786,21,0.6763641348126135,soft,87.42905214982831
2010,2,Albert Park Grand Prix Circuit,Australia,rosa,1,138074.0,829,752,21,0.5579601878153349,hard,82.17287619735738
2010,2,Albert Park Grand Prix Circuit,Australia,liuzzi,1,139139.0,769,788,30,0.6109820726975987,hard,60.243771259864616
2010,2,Albert Park Grand Prix Circuit,Australia,alguersuari,1,140030.0,795,769,38,0.7318957135483674,soft,59.85976821267662
2010,2,Albert Park Grand Prix Circuit,Australia,bruno_senna,1,141240.0,803,794,34,0.7218183549112853,medium,21.570740812760224
2010,2,Albert Park Grand Prix Circuit,Australia,kovalainen,1,141782.0,946,731,43,0.7237755910895312,medium,52.082697494102206
2010,2,Albert Park Grand Prix Circuit,Australia,chandhok,1,143215.0,984,760,43,0.9146214871805051,hard,85.4633057796763
2010,2,Albert Park Grand Prix Circuit,Australia,glock,1,145471.0,925,736,38,0.8659905899397351,hard,73.65444298071183
2010,2,Albert Park Grand Prix Circuit,Australia,alonso,1,146186.0,920,742,44,0.8029119875814926,soft,36.28386658340036
2010,2,Albert Park Grand Prix Circuit,Australia,grassi,1,148496.0,783,714,39,0.7120652729638914,hard,42.891069689639515
2010,2,Albert Park Grand Prix Circuit,Australia,michael_schumacher,1,156432.0,974,781,38,0.8894107554658008,hard,70.65943638390789
2010,2,Albert Park Grand Prix Circuit,Australia,vettel,2,163696.0,779,750,41,0.8077697098774229,medium,43.48164548925904
2010,2,Albert Park Grand Prix Circuit,Australia,massa,2,164147.0,991,744,38,0.5853483770678121,hard,67.36995519953628
2010,2,Albert Park Grand Prix Circuit,Australia,webber,2,163762.0,841,739,29,0.8011280266308981,hard,85.57353664329514
2010,2,Albert Park Grand Prix Circuit,Australia,kubica,2,163646.0,783,768,31,0.8140634981506654,hard,62.601531657551476
2010,2,Albert Park Grand Prix Circuit,Australia,rosberg,2,163719.0,767,776,30,0.6316595820665616,medium,76.23465099828563
2010,2,Albert Park Grand Prix Circuit,Australia,button,2,163718.0,992,761,26,0.5742962171791391,soft,48.51803599217406
2010,2,Albert Park Grand Prix Circuit,Australia,hamilton,2,164420.0,843,763,41,0.791713640086178,hard,70.94056606357114
2010,2,Albert Park Grand Prix Circuit,Australia,sutil,2,164910.0,793,794,36,0.9924518226629377,hard,82.38887202295943
2010,2,Albert Park Grand Prix Circuit,Australia,barrichello,2,164826.0,755,754,20,0.6118147296380989,medium,16.58628200637932
2010,2,Albert Park Grand Prix Circuit,Australia,petrov,2,164468.0,803,751,29,0.5990684217663621,hard,54.20472649629739
2010,2,Albert Park Grand Prix Circuit,Australia,rosa,2,164718.0,773,713,25,0.9858122971745213,hard,63.66962103967967
2010,2,Albert Park Grand Prix Circuit,Australia,liuzzi,2,165069.0,785,704,29,0.7184119538560274,soft,21.715864094169504
2010,2,Albert Park Grand Prix Circuit,Australia,alguersuari,2,165629.0,887,778,22,0.9515145905841063,soft,72.14376207229476
2010,2,Albert Park Grand Prix Circuit,Australia,bruno_senna,2,165133.0,891,790,39,0.9449904491327712,medium,98.78623559261635
2010,2,Albert Park Grand Prix Circuit,Australia,kovalainen,2,166300.0,831,790,33,0.7377303047985411,medium,45.699846622864136
2010,2,Albert Park Grand Prix Circuit,Australia,chandhok,2,165482.0,945,789,27,0.6898957026366321,soft,76.5339600209551
2010,2,Albert Park Grand Prix Circuit,Australia,glock,2,164394.0,948,722,41,0.6380787853378322,medium,40.35602996135654
2010,2,Albert Park Grand Prix Circuit,Australia,alonso,2,165042.0,933,779,33,0.5099853264342828,hard,37.23725859178268
2010,2,Albert Park Grand Prix Circuit,Australia,grassi,2,163667.0,909,745,28,0.7141989884759246,medium,52.51414310244426
2010,2,Albert Park Grand Prix Circuit,Australia,michael_schumacher,2,156780.0,906,719,26,0.8999994061631942,medium,32.12893962182628
2010,2,Albert Park Grand Prix Circuit,Australia,vettel,3,156229.0,879,722,43,0.7449245762180905,soft,58.11097662223997
2010,2,Albert Park Grand Prix Circuit,Australia,massa,3,156413.0,850,709,34,0.9293424311349237,hard,58.13858210668854
2010,2,Albert Park Grand Prix Circuit,Australia,webber,3,156478.0,782,749,41,0.8329970468722345,hard,24.692391912268114
2010,2,Albert Park Grand Prix Circuit,Australia,kubica,3,155909.0,827,795,42,0.9461760420352259,soft,32.20027491019452
2010,2,Albert Park Grand Prix Circuit,Australia,rosberg,3,155457.0,903,798,36,0.7086990682269427,hard,93.12000784529131
2010,2,Albert Park Grand Prix Circuit,Australia,button,3,155482.0,951,752,38,0.5825500812145351,medium,81.54759765211364
2010,2,Albert Park Grand Prix Circuit,Australia,hamilton,3,154842.0,895,752,40,0.7861258898107374,soft,91.22869464068985
2010,2,Albert Park Grand Prix Circuit,Australia,sutil,3,154168.0,897,735,43,0.9090734933344363,hard,53.359439068304376
2010,2,Albert Park Grand Prix Circuit,Australia,barrichello,3,155221.0,847,764,21,0.519321781178891,hard,85.56556208246847
2010,2,Albert Park Grand Prix Circuit,Australia,petrov,3,156161.0,973,794,22,0.9434134847555524,soft,96.36984824085049
2010,2,Albert Park Grand Prix Circuit,Australia,rosa,3,156205.0,919,761,26,0.7796137803192409,hard,50.730422714836365
2010,2,Albert Park Grand Prix Circuit,Australia,liuzzi,3,156036.0,940,727,32,0.6836324465224464,hard,20.29856815323043
2010,2,Albert Park Grand Prix Circuit,Australia,alguersuari,3,155081.0,971,722,20,0.5455274687116047,soft,33.672850076785195
2010,2,Albert Park Grand Prix Circuit,Australia,bruno_senna,3,156198.0,904,732,38,0.772740068995061,hard,12.141781398948684
2010,2,Albert Park Grand Prix Circuit,Australia,kovalainen,3,155186.0,889,700,37,0.6800759985103758,medium,35.472973506549366
2010,2,Albert Park Grand Prix Circuit,Australia,chandhok,3,154945.0,991,706,29,0.7754852274264799,hard,14.437456504123853
2010,2,Albert Park Grand Prix Circuit,Australia,glock,3,154812.0,780,750,37,0.5844740629855893,medium,11.76797848082496
2010,2,Albert Park Grand Prix Circuit,Australia,alonso,3,154665.0,773,774,40,0.6272591755173438,soft,26.262975247952955
2010,2,Albert Park Grand Prix Circuit,Australia,grassi,3,154578.0,989,720,33,0.5860151983775281,hard,75.01348341437259
2010,2,Albert Park Grand Prix Circuit,Australia,michael_schumacher,3,154475.0,847,792,36,0.7416112419770537,hard,71.09826577513553
2010,2,Albert Park Grand Prix Circuit,Australia,vettel,4,150999.0,783,784,28,0.8578365204950363,soft,65.26060777271785
2010,2,Albert Park Grand Prix Circuit,Australia,massa,4,150058.0,754,780,30,0.5947485972281443,soft,94.99526847384834
2010,2,Albert Park Grand Prix Circuit,Australia,webber,4,150204.0,771,712,31,0.8198122721534464,hard,99.30441490399662
2010,2,Albert Park Grand Prix Circuit,Australia,kubica,4,149677.0,829,745,39,0.704187633956773,hard,24.132174911482924
2010,2,Albert Park Grand Prix Circuit,Australia,rosberg,4,150108.0,799,769,35,0.7184754734284637,hard,79.2737191245557
2010,2,Albert Park Grand Prix Circuit,Australia,button,4,150053.0,970,746,20,0.9485115948456563,medium,45.02756663277871
2010,2,Albert Park Grand Prix Circuit,Australia,hamilton,4,149373.0,978,756,44,0.6275912742799772,soft,11.314172922706899
2010,2,Albert Park Grand Prix Circuit,Australia,sutil,4,149916.0,964,747,44,0.849933610264372,hard,37.72360799363623
2010,2,Albert Park Grand Prix Circuit,Australia,barrichello,4,148946.0,774,796,43,0.5301293773484368,medium,35.290967132503816
2010,2,Albert Park Grand Prix Circuit,Australia,petrov,4,147148.0,824,735,35,0.8456267909402946,hard,89.88698014933942
2010,2,Albert Park Grand Prix Circuit,Australia,rosa,4,146741.0,966,731,22,0.5172338807555938,soft,68.15244452420993
2010,2,Albert Park Grand Prix Circuit,Australia,liuzzi,4,146618.0,849,775,43,0.6132336771428318,hard,81.15997831350823
2010,2,Albert Park Grand Prix Circuit,Australia,alguersuari,4,147403.0,836,767,42,0.9159382682404175,medium,82.22600122017921
2010,2,Albert Park Grand Prix Circuit,Australia,kovalainen,4,146273.0,772,754,42,0.5980217704498445,soft,19.23200994669277
2010,2,Albert Park Grand Prix Circuit,Australia,bruno_senna,4,147276.0,766,722,29,0.6859782667091154,medium,98.92714002576798
2010,2,Albert Park Grand Prix Circuit,Australia,chandhok,4,146897.0,797,723,39,0.5583397905800387,soft,14.24061450376813
2010,2,Albert Park Grand Prix Circuit,Australia,glock,4,145894.0,921,710,35,0.9129844983503653,hard,79.54595798484371
2010,2,Albert Park Grand Prix Circuit,Australia,alonso,4,144931.0,951,771,42,0.7380435888697405,soft,59.44421768596367
2010,2,Albert Park Grand Prix Circuit,Australia,grassi,4,145045.0,884,752,40,0.6677400223698869,medium,59.84451605801432
2010,2,Albert Park Grand Prix Circuit,Australia,michael_schumacher,4,144142.0,936,701,36,0.9015564180476836,hard,48.28016159564525
2010,2,Albert Park Grand Prix Circuit,Australia,vettel,5,104978.0,756,728,37,0.7235101183753889,medium,25.810208906303934
2010,2,Albert Park Grand Prix Circuit,Australia,massa,5,105264.0,825,737,27,0.8226726148837156,medium,34.42965931179431
2010,2,Albert Park Grand Prix Circuit,Australia,webber,5,104727.0,926,734,28,0.5124687827939781,medium,16.151290053723837
2010,2,Albert Park Grand Prix Circuit,Australia,kubica,5,105364.0,778,795,33,0.5325922807010977,soft,27.57386672633642
2010,2,Albert Park Grand Prix Circuit,Australia,rosberg,5,105012.0,801,751,29,0.6590569953129506,soft,62.46665095011569
2010,2,Albert Park Grand Prix Circuit,Australia,button,5,104523.0,821,792,22,0.8465023088745809,hard,96.51455403086644
2010,2,Albert Park Grand Prix Circuit,Australia,hamilton,5,104672.0,907,765,25,0.5743873130664074,medium,49.13010753124458
2010,2,Albert Park Grand Prix Circuit,Australia,sutil,5,104336.0,904,775,28,0.7796917395695925,soft,89.89238824507105
2010,2,Albert Park Grand Prix Circuit,Australia,barrichello,5,104743.0,988,786,29,0.6577651388344041,hard,24.091076050487324
2010,2,Albert Park Grand Prix Circuit,Australia,petrov,5,104547.0,826,770,36,0.6497379614826972,soft,82.79240128436416
2010,2,Albert Park Grand Prix Circuit,Australia,rosa,5,105205.0,788,795,34,0.5166138849169677,soft,20.072643505038293
2010,2,Albert Park Grand Prix Circuit,Australia,liuzzi,5,104986.0,753,739,37,0.9575040126409609,hard,26.713381099800337
2010,2,Albert Park Grand Prix Circuit,Australia,alguersuari,5,105153.0,812,704,28,0.7761776307430276,soft,15.556141832861323
2010,2,Albert Park Grand Prix Circuit,Australia,kovalainen,5,106713.0,805,723,33,0.6266598567722288,hard,33.39416473716202
2010,2,Albert Park Grand Prix Circuit,Australia,alonso,5,106726.0,887,756,27,0.9413060943106617,medium,23.738013078186565
2010,2,Albert Park Grand Prix Circuit,Australia,glock,5,108290.0,755,793,26,0.6841931758702684,hard,59.30751374918971
2010,2,Albert Park Grand Prix Circuit,Australia,michael_schumacher,5,107257.0,857,713,33,0.6500816683184941,medium,59.217079120442634
2010,2,Albert Park Grand Prix Circuit,Australia,grassi,5,111668.0,786,728,27,0.7996730677868276,medium,45.520506290741814
2010,2,Albert Park Grand Prix Circuit,Australia,chandhok,5,115708.0,960,746,27,0.8877383391178353,soft,70.80055690088648
2010,2,Albert Park Grand Prix Circuit,Australia,vettel,6,103250.0,895,719,39,0.5867364138641553,soft,83.8674040806689
2010,3,Sepang International Circuit,Malaysia,vettel,1,106801.0,942,769,40,0.6935288111497006,hard,83.63527577456873
2010,3,Sepang International Circuit,Malaysia,webber,1,107748.0,836,762,26,0.9587294383840959,soft,40.35528413754766
2010,3,Sepang International Circuit,Malaysia,rosberg,1,109161.0,943,728,33,0.7775748104966512,medium,97.37224231248766
2010,3,Sepang International Circuit,Malaysia,kubica,1,109972.0,947,760,37,0.7168473469377945,hard,98.48875614755214
2010,3,Sepang International Circuit,Malaysia,sutil,1,110477.0,939,715,24,0.9473122818272328,soft,87.66847199235455
2010,3,Sepang International Circuit,Malaysia,michael_schumacher,1,111097.0,902,705,29,0.9712310636579606,hard,89.14661741526238
2010,3,Sepang International Circuit,Malaysia,hulkenberg,1,111386.0,864,799,36,0.8190514450035722,hard,85.4777002278776
2010,3,Sepang International Circuit,Malaysia,liuzzi,1,112146.0,937,785,40,0.5836422260796389,medium,41.50876517257831
2010,3,Sepang International Circuit,Malaysia,petrov,1,112677.0,881,715,42,0.645428347166435,medium,11.789574135857755
2010,3,Sepang International Circuit,Malaysia,kobayashi,1,113346.0,769,797,41,0.9678269276532672,soft,53.763761279118576
2010,3,Sepang International Circuit,Malaysia,alguersuari,1,114077.0,849,765,21,0.7765226226504607,soft,92.93304328585822
2010,3,Sepang International Circuit,Malaysia,buemi,1,114441.0,851,717,21,0.5761636636800684,soft,94.35777600979826
2010,3,Sepang International Circuit,Malaysia,hamilton,1,114646.0,840,743,32,0.9776531237008523,medium,85.90363611863945
2010,3,Sepang International Circuit,Malaysia,massa,1,115272.0,886,789,27,0.6593600916261169,medium,60.17202294177556
2010,3,Sepang International Circuit,Malaysia,button,1,115718.0,899,797,26,0.5662666490572978,hard,90.41016199868632
2010,3,Sepang International Circuit,Malaysia,alonso,1,116088.0,977,771,25,0.7606257766973956,soft,54.490588457923195
2010,3,Sepang International Circuit,Malaysia,trulli,1,117523.0,957,713,34,0.643817722407378,soft,11.103211177730095
2010,3,Sepang International Circuit,Malaysia,glock,1,118423.0,973,722,28,0.997019044361799,medium,50.21796566383064
2010,3,Sepang International Circuit,Malaysia,grassi,1,119277.0,776,790,23,0.8915618001479767,hard,44.58192798167032
2010,3,Sepang International Circuit,Malaysia,bruno_senna,1,119562.0,797,745,30,0.6658731520499724,hard,90.48093522278022
2010,3,Sepang International Circuit,Malaysia,kovalainen,1,119606.0,900,721,23,0.7998630177288719,soft,56.633646706779096
2010,3,Sepang International Circuit,Malaysia,barrichello,1,119816.0,837,759,29,0.5094378790606355,medium,82.7416098958693
2010,3,Sepang International Circuit,Malaysia,chandhok,1,120653.0,953,777,32,0.599360868882516,hard,35.91056364597545
2010,3,Sepang International Circuit,Malaysia,vettel,2,101853.0,809,711,26,0.9274910565132274,soft,86.91310108066595
2010,3,Sepang International Circuit,Malaysia,webber,2,102211.0,816,736,36,0.6292913509479752,medium,29.139567403403625
2010,3,Sepang International Circuit,Malaysia,rosberg,2,102881.0,849,725,42,0.5458220157662033,soft,54.48428560962664
2010,3,Sepang International Circuit,Malaysia,kubica,2,103086.0,837,709,38,0.8202838556313239,hard,41.92688960233438
2010,3,Sepang International Circuit,Malaysia,sutil,2,103453.0,942,719,34,0.9592539212448822,medium,96.22196482194671
